year,musician,work,category,status
2023,Lizzo,About Damn Time,record-of-the-year,winner
2023,Abba,Don't Shut Me Down,record-of-the-year,nominee
2023,Adele,Easy On Me,record-of-the-year,nominee
2023,Beyonce,BREAK MY SOUL,record-of-the-year,nominee
2023,Mary J. Blige,Good Morning Gorgeous,record-of-the-year,nominee
2023,Brandi Carlile Featuring Lucius,You And Me On The Rock,record-of-the-year,nominee
2023,Doja Cat,Woman,record-of-the-year,nominee
2023,Steve Lacy,Bad Habit,record-of-the-year,nominee
2023,Harry Styles,As It Was,record-of-the-year,nominee
2023,Kendrick Lamar,The Heart Part 5,record-of-the-year,nominee
2023,Harry Styles,Harry's House,album-of-the-year,winner
2023,Abba,Voyage,album-of-the-year,nominee
2023,Adele,30,album-of-the-year,nominee
2023,Bad Bunny,Un Verano Sin Ti,album-of-the-year,nominee
2023,Beyonce,RENAISSANCE,album-of-the-year,nominee
2023,Mary J. Blige,Good Morning Gorgeous,album-of-the-year,nominee
2023,Brandi Carlile,In These Silent Days,album-of-the-year,nominee
2023,Coldplay,Music Of The Spheres,album-of-the-year,nominee
2023,Kendrick Lamar,Mr. Morale & The Big Steppers,album-of-the-year,nominee
2023,Lizzo,Special,album-of-the-year,nominee
2023,Samara Joy,NA,best-new-artist,winner
2023,Anitta,NA,best-new-artist,nominee
2023,Omar Apollo,NA,best-new-artist,nominee
2023,DOMi & JD Beck,NA,best-new-artist,nominee
2023,Muni Long,NA,best-new-artist,nominee
2023,Latto,NA,best-new-artist,nominee
2023,Måneskin,NA,best-new-artist,nominee
2023,Tobe Nwigwe,NA,best-new-artist,nominee
2023,Molly Tuttle,NA,best-new-artist,nominee
2023,Wet Leg,NA,best-new-artist,nominee