year,musician,work,category,status,cleaned_musician
1966,Herb Alpert and the Tijuana Brass,A Taste of Honey,record-of-the-year,winner,Herb Alpert and the Tijuana Brass
1966,Beatles,Yesterday,record-of-the-year,nominee,Beatles
1966,Ramsey Lewis Trio,The In Crowd,record-of-the-year,nominee,Ramsey Lewis Trio
1966,Roger Miller,King of the Road,record-of-the-year,nominee,Roger Miller
1966,Tony Bennett,The Shadow of Your Smile,record-of-the-year,nominee,Tony Bennett
1965,Astrud Gilberto and Stan Getz,The Girl from Ipanema,record-of-the-year,winner,Astrud Gilberto and Stan Getz
1965,Petula Clark,Downtown,record-of-the-year,nominee,Petula Clark
1965,Louis Armstrong,"Hello, Dolly!",record-of-the-year,nominee,Louis Armstrong
1965,Beatles,I Want to Hold Your Hand,record-of-the-year,nominee,Beatles
1965,Barbra Streisand,People,record-of-the-year,nominee,Barbra Streisand
1964,Henry Mancini,Days of Wine and Roses,record-of-the-year,winner,Henry Mancini
1964,the Singing Nun,Dominique,record-of-the-year,nominee,the Singing Nun
1964,Barbra Streisand,Happy Days Are Here Again,record-of-the-year,nominee,Barbra Streisand
1964,Tony Bennett,I Wanna Be Around,record-of-the-year,nominee,Tony Bennett
1964,Jack Jones,Wives and Lovers,record-of-the-year,nominee,Jack Jones
1963,Tony Bennett,I Left My Heart in San Francisco,record-of-the-year,winner,Tony Bennett
1963,Stan Getz & Charlie Boyd,Desafinado,record-of-the-year,nominee,Stan Getz  Charlie Boyd
1963,Joe Harnell & His Orchestra,Fly Me to the Moon Bossa Nova,record-of-the-year,nominee,Joe Harnell  His Orchestra
1963,Ray Charles,I Can’t Stop Loving You,record-of-the-year,nominee,Ray Charles
1963,Jr.,"What Kind of Fool Am I?, Sammy Davis",record-of-the-year,nominee,Jr
1962,Henry Mancini,Moon River,record-of-the-year,winner,Henry Mancini
1962,Jimmy Dean,Big Bad John,record-of-the-year,nominee,Jimmy Dean
1962,Frank Sinatra,The Second Time Around,record-of-the-year,nominee,Frank Sinatra
1962,Dave Brubeck,Take Five,record-of-the-year,nominee,Dave Brubeck
1962,Si Zentner,(Up a) Lazy River,record-of-the-year,nominee,Si Zentner
1961,Percy Faith,Theme from a Summer Place,record-of-the-year,winner,Percy Faith
1961,Elvis Presley,Are You Lonesome Tonight?,record-of-the-year,nominee,Elvis Presley
1961,Ray Charles,Georgia on My Mind,record-of-the-year,nominee,Ray Charles
1961,Ella Fitzgerald,Mack the Knife,record-of-the-year,nominee,Ella Fitzgerald
1961,Frank Sinatra,Nice ‘n’ Easy,record-of-the-year,nominee,Frank Sinatra
1960,Bobby Darin,Mack the Knife,record-of-the-year,winner,Bobby Darin
1960,Elvis Presley,A Fool Such as I,record-of-the-year,nominee,Elvis Presley
1960,Frank Sinatra,High Hopes,record-of-the-year,nominee,Frank Sinatra
1960,Andre Previn,Like Young,record-of-the-year,nominee,Andre Previn
1960,the Browns,The Three Bells,record-of-the-year,nominee,the Browns
1959,Domenico Modugno,Nel Blu Dipinto Di Blu (Volare),record-of-the-year,winner,Domenico Modugno
1959,Perry Como,Catch a Falling Star,record-of-the-year,nominee,Perry Como
1959,David Seville,The Chipmunk Song (Christmas Don’t Be Late),record-of-the-year,nominee,David Seville
1959,Peggy Lee,Fever,record-of-the-year,nominee,Peggy Lee
1959,Frank Sinatra,Witchcraft,record-of-the-year,nominee,Frank Sinatra
2022,Olivia Rodrigo,NA,best-new-artist,winner,Olivia Rodrigo
2022,Arooj Aftab,NA,best-new-artist,nominee,Arooj Aftab
2022,Jimmie Allen,NA,best-new-artist,nominee,Jimmie Allen
2022,Baby Keem,NA,best-new-artist,nominee,Baby Keem
2022,Finneas,NA,best-new-artist,nominee,Finneas
2022,Glass Animals,NA,best-new-artist,nominee,Glass Animals
2022,Japanese Breakfast,NA,best-new-artist,nominee,Japanese Breakfast
2022,The Kid Laroi,NA,best-new-artist,nominee,The Kid Laroi
2022,Arlo Parks,NA,best-new-artist,nominee,Arlo Parks
2022,Saweetie,NA,best-new-artist,nominee,Saweetie
2021,Megan Thee Stallion,NA,best-new-artist,winner,Megan Thee Stallion
2021,Ingrid Andress,NA,best-new-artist,nominee,Ingrid Andress
2021,Phoebe Bridgers,NA,best-new-artist,nominee,Phoebe Bridgers
2021,Chika,NA,best-new-artist,nominee,Chika
2021,Noah Cyrus,NA,best-new-artist,nominee,Noah Cyrus
2021,D Smoke,NA,best-new-artist,nominee,D Smoke
2021,Doja Cat,NA,best-new-artist,nominee,Doja Cat
2021,Kaytranada,NA,best-new-artist,nominee,Kaytranada
2020,Billie Eilish,NA,best-new-artist,winner,Billie Eilish
2020,Black Pumas,NA,best-new-artist,nominee,Black Pumas
2020,Maggie Rogers,NA,best-new-artist,nominee,Maggie Rogers
2020,Lil Nas X,NA,best-new-artist,nominee,Lil Nas X
2020,Lizzo,NA,best-new-artist,nominee,Lizzo
2020,Rosalia,NA,best-new-artist,nominee,Rosalia
2020,Tank and the Bangas,NA,best-new-artist,nominee,Tank and the Bangas
2020,Yola,NA,best-new-artist,nominee,Yola
2019,Dua Lipa,NA,best-new-artist,winner,Dua Lipa
2019,Chloe x Halle,NA,best-new-artist,nominee,Chloe x Halle
2019,Luke Combs,NA,best-new-artist,nominee,Luke Combs
2019,Greta Van Fleet,NA,best-new-artist,nominee,Greta Van Fleet
2019,H.E.R.,NA,best-new-artist,nominee,HER
2019,Margo Price,NA,best-new-artist,nominee,Margo Price
2019,Bebe Rexha,NA,best-new-artist,nominee,Bebe Rexha
2019,Jorja Smith,NA,best-new-artist,nominee,Jorja Smith
2018,Alessia Cara,NA,best-new-artist,winner,Alessia Cara
2018,Khalid,NA,best-new-artist,nominee,Khalid
2018,Lil Uzi Vert,NA,best-new-artist,nominee,Lil Uzi Vert
2018,Julia Michaels,NA,best-new-artist,nominee,Julia Michaels
2018,SZA,NA,best-new-artist,nominee,SZA
2017,Chance the Rapper,NA,best-new-artist,winner,Chance the Rapper
2017,Kelsea Ballerini,NA,best-new-artist,nominee,Kelsea Ballerini
2017,Chainsmokers,NA,best-new-artist,nominee,Chainsmokers
2017,Maren Morris,NA,best-new-artist,nominee,Maren Morris
2017,Anderson.Paak,NA,best-new-artist,nominee,AndersonPaak
2016,Meghan Trainor,NA,best-new-artist,winner,Meghan Trainor
2016,Courtney Barnett,NA,best-new-artist,nominee,Courtney Barnett
2016,James Bay,NA,best-new-artist,nominee,James Bay
2016,Sam Hunt,NA,best-new-artist,nominee,Sam Hunt
2016,Tori Kelly,NA,best-new-artist,nominee,Tori Kelly
2015,Sam Smith,NA,best-new-artist,winner,Sam Smith
2015,Iggy Azalea,NA,best-new-artist,nominee,Iggy Azalea
2015,Bastille,NA,best-new-artist,nominee,Bastille
2015,Brandy Clark,NA,best-new-artist,nominee,Brandy Clark
2015,Haim,NA,best-new-artist,nominee,Haim
2014,Macklemore & Ryan Lewis,NA,best-new-artist,winner,Macklemore  Ryan Lewis
2014,James Blake,NA,best-new-artist,nominee,James Blake
2014,Kendrick Lamar,NA,best-new-artist,nominee,Kendrick Lamar
2014,Kacey Musgraves,NA,best-new-artist,nominee,Kacey Musgraves
2014,Ed Sheeran,NA,best-new-artist,nominee,Ed Sheeran
2013,fun.,NA,best-new-artist,winner,fun
2013,Alabama Shakes,NA,best-new-artist,nominee,Alabama Shakes
2013,Hunter Hayes,NA,best-new-artist,nominee,Hunter Hayes
2013,Lumineers,NA,best-new-artist,nominee,Lumineers
2013,Frank Ocean,NA,best-new-artist,nominee,Frank Ocean
2012,Bon Iver,NA,best-new-artist,winner,Bon Iver
2012,The Band Perry,NA,best-new-artist,nominee,The Band Perry
2012,J. Cole,NA,best-new-artist,nominee,J Cole
2012,Nicki Minaj,NA,best-new-artist,nominee,Nicki Minaj
2012,Skrillex,NA,best-new-artist,nominee,Skrillex
2011,Esperanza Spalding,NA,best-new-artist,winner,Esperanza Spalding
2011,Drake,NA,best-new-artist,nominee,Drake
2011,Florence + the Machine,NA,best-new-artist,nominee,Florence  the Machine
2011,Justin Bieber,NA,best-new-artist,nominee,Justin Bieber
2011,Mumford & Sons,NA,best-new-artist,nominee,Mumford  Sons
2010,Zac Brown Band,NA,best-new-artist,winner,Zac Brown Band
2010,Keri Hilson,NA,best-new-artist,nominee,Keri Hilson
2010,MGMT,NA,best-new-artist,nominee,MGMT
2010,Silversun Pickups,NA,best-new-artist,nominee,Silversun Pickups
2010,The Ting Tings,NA,best-new-artist,nominee,The Ting Tings
2009,Adele,NA,best-new-artist,winner,Adele
2009,Duffy,NA,best-new-artist,nominee,Duffy
2009,Jonas Brothers,NA,best-new-artist,nominee,Jonas Brothers
2009,Lady Antebellum,NA,best-new-artist,nominee,Lady Antebellum
2009,Jazmine Sullivan,NA,best-new-artist,nominee,Jazmine Sullivan
2008,Amy Winehouse,NA,best-new-artist,winner,Amy Winehouse
2008,Feist,NA,best-new-artist,nominee,Feist
2008,Ledisi,NA,best-new-artist,nominee,Ledisi
2008,Paramore,NA,best-new-artist,nominee,Paramore
2008,Taylor Swift,NA,best-new-artist,nominee,Taylor Swift
2007,Carrie Underwood,NA,best-new-artist,winner,Carrie Underwood
2007,James Blunt,NA,best-new-artist,nominee,James Blunt
2007,Chris Brown,NA,best-new-artist,nominee,Chris Brown
2007,Imogen Heap,NA,best-new-artist,nominee,Imogen Heap
2007,Corinne Bailey Rae,NA,best-new-artist,nominee,Corinne Bailey Rae
2006,John Legend,NA,best-new-artist,winner,John Legend
2006,Ciara,NA,best-new-artist,nominee,Ciara
2006,Fall Out Boy,NA,best-new-artist,nominee,Fall Out Boy
2006,Keane,NA,best-new-artist,nominee,Keane
2006,Sugarland,NA,best-new-artist,nominee,Sugarland
2005,Maroon 5,NA,best-new-artist,winner,Maroon 5
2005,Los Lonely Boys,NA,best-new-artist,nominee,Los Lonely Boys
2005,Joss Stone,NA,best-new-artist,nominee,Joss Stone
2005,Kanye West,NA,best-new-artist,nominee,Kanye West
2005,Gretchen Wilson,NA,best-new-artist,nominee,Gretchen Wilson
2004,Evanescence,NA,best-new-artist,winner,Evanescence
2004,50 Cent,NA,best-new-artist,nominee,50 Cent
2004,Fountains of Wayne,NA,best-new-artist,nominee,Fountains of Wayne
2004,Heather Headley,NA,best-new-artist,nominee,Heather Headley
2004,Sean Paul,NA,best-new-artist,nominee,Sean Paul
2003,Norah Jones,NA,best-new-artist,winner,Norah Jones
2003,Ashanti,NA,best-new-artist,nominee,Ashanti
2003,Michelle Branch,NA,best-new-artist,nominee,Michelle Branch
2003,Avril Lavigne,NA,best-new-artist,nominee,Avril Lavigne
2003,John Mayer,NA,best-new-artist,nominee,John Mayer
2002,Alicia Keys,NA,best-new-artist,winner,Alicia Keys
2002,India.Arie,NA,best-new-artist,nominee,IndiaArie
2002,Nelly Furtado,NA,best-new-artist,nominee,Nelly Furtado
2002,David Gray,NA,best-new-artist,nominee,David Gray
2002,Linkin Park,NA,best-new-artist,nominee,Linkin Park
2001,Shelby Lynne,NA,best-new-artist,winner,Shelby Lynne
2001,Brad Paisley,NA,best-new-artist,nominee,Brad Paisley
2001,Papa Roach,NA,best-new-artist,nominee,Papa Roach
2001,Jill Scott,NA,best-new-artist,nominee,Jill Scott
2001,Sisqo,NA,best-new-artist,nominee,Sisqo
2000,Christina Aguilera,NA,best-new-artist,winner,Christina Aguilera
2000,Macy Gray,NA,best-new-artist,nominee,Macy Gray
2000,Kid Rock,NA,best-new-artist,nominee,Kid Rock
2000,Britney Spears,NA,best-new-artist,nominee,Britney Spears
2000,Susan Tedeschi,NA,best-new-artist,nominee,Susan Tedeschi
1999,Lauryn Hill,NA,best-new-artist,winner,Lauryn Hill
1999,Backstreet Boys,NA,best-new-artist,nominee,Backstreet Boys
1999,Andrea Bocelli,NA,best-new-artist,nominee,Andrea Bocelli
1999,Dixie Chicks,NA,best-new-artist,nominee,Dixie Chicks
1999,Natalie Imbruglia,NA,best-new-artist,nominee,Natalie Imbruglia
1998,Paula Cole,NA,best-new-artist,winner,Paula Cole
1998,Fiona Apple,NA,best-new-artist,nominee,Fiona Apple
1998,Erykah Badu,NA,best-new-artist,nominee,Erykah Badu
1998,Puff Daddy,NA,best-new-artist,nominee,Puff Daddy
1998,Hanson,NA,best-new-artist,nominee,Hanson
1997,LeAnn Rimes,NA,best-new-artist,winner,LeAnn Rimes
1997,Garbage,NA,best-new-artist,nominee,Garbage
1997,Jewel,NA,best-new-artist,nominee,Jewel
1997,No Doubt,NA,best-new-artist,nominee,No Doubt
1997,The Tony Rich Project,NA,best-new-artist,nominee,The Tony Rich Project
1996,Hootie & the Blowfish,NA,best-new-artist,winner,Hootie  the Blowfish
1996,Brandy,NA,best-new-artist,nominee,Brandy
1996,Alanis Morissette,NA,best-new-artist,nominee,Alanis Morissette
1996,Joan Osborne,NA,best-new-artist,nominee,Joan Osborne
1996,Shania Twain,NA,best-new-artist,nominee,Shania Twain
1995,Sheryl Crow,NA,best-new-artist,winner,Sheryl Crow
1995,Ace of Base,NA,best-new-artist,nominee,Ace of Base
1995,Counting Crows,NA,best-new-artist,nominee,Counting Crows
1995,Crash Test Dummies,NA,best-new-artist,nominee,Crash Test Dummies
1995,Green Day,NA,best-new-artist,nominee,Green Day
1994,Toni Braxton,NA,best-new-artist,winner,Toni Braxton
1994,Belly,NA,best-new-artist,nominee,Belly
1994,Blind Melon,NA,best-new-artist,nominee,Blind Melon
1994,Digable Planets,NA,best-new-artist,nominee,Digable Planets
1994,SWV,NA,best-new-artist,nominee,SWV
1993,Arrested Development,NA,best-new-artist,winner,Arrested Development
1993,Billy Ray Cyrus,NA,best-new-artist,nominee,Billy Ray Cyrus
1993,Sophie B. Hawkins,NA,best-new-artist,nominee,Sophie B Hawkins
1993,Kris Kross,NA,best-new-artist,nominee,Kris Kross
1993,Jon Secada,NA,best-new-artist,nominee,Jon Secada
1992,Marc Cohn,NA,best-new-artist,winner,Marc Cohn
1992,Boyz II Men,NA,best-new-artist,nominee,Boyz II Men
1992,C&C Music Factory,NA,best-new-artist,nominee,CC Music Factory
1992,Color Me Badd,NA,best-new-artist,nominee,Color Me Badd
1992,Seal,NA,best-new-artist,nominee,Seal
1991,Mariah Carey,NA,best-new-artist,winner,Mariah Carey
1991,Black Crowes,NA,best-new-artist,nominee,Black Crowes
1991,Kentucky Headhunters,NA,best-new-artist,nominee,Kentucky Headhunters
1991,Wilson Phillips,NA,best-new-artist,nominee,Wilson Phillips
1991,Lisa Stansfield,NA,best-new-artist,nominee,Lisa Stansfield
1990,Milli Vanilli (award later revoked and vacated),NA,best-new-artist,winner,Milli Vanilli award later revoked and vacated
1990,Neneh Cherry,NA,best-new-artist,nominee,Neneh Cherry
1990,Indigo Girls,NA,best-new-artist,nominee,Indigo Girls
1990,Soul II Soul,NA,best-new-artist,nominee,Soul II Soul
1990,Tone Loc,NA,best-new-artist,nominee,Tone Loc
1989,Tracy Chapman,NA,best-new-artist,winner,Tracy Chapman
1989,Rick Astley,NA,best-new-artist,nominee,Rick Astley
1989,Toni Childs,NA,best-new-artist,nominee,Toni Childs
1989,Take 6,NA,best-new-artist,nominee,Take 6
1989,Vanessa Williams,NA,best-new-artist,nominee,Vanessa Williams
1988,Jody Watley,NA,best-new-artist,winner,Jody Watley
1988,Breakfast Club,NA,best-new-artist,nominee,Breakfast Club
1988,Cutting Crew,NA,best-new-artist,nominee,Cutting Crew
1988,Terence Trent D’Arby,NA,best-new-artist,nominee,Terence Trent DArby
1988,Swing Out Sister,NA,best-new-artist,nominee,Swing Out Sister
1987,Bruce Hornsby and the Range,NA,best-new-artist,winner,Bruce Hornsby and the Range
1987,Glass Tiger,NA,best-new-artist,nominee,Glass Tiger
1987,Nu Shooz,NA,best-new-artist,nominee,Nu Shooz
1987,Simply Red,NA,best-new-artist,nominee,Simply Red
1987,Timbuk3,NA,best-new-artist,nominee,Timbuk3
1986,Sade,NA,best-new-artist,winner,Sade
1986,a-ha,NA,best-new-artist,nominee,aha
1986,Freddie Jackson,NA,best-new-artist,nominee,Freddie Jackson
1986,Katrina and the Waves,NA,best-new-artist,nominee,Katrina and the Waves
1986,Julian Lennon,NA,best-new-artist,nominee,Julian Lennon
1985,Cyndi Lauper,NA,best-new-artist,winner,Cyndi Lauper
1985,Sheila E.,NA,best-new-artist,nominee,Sheila E
1985,Frankie Goes to Hollywood,NA,best-new-artist,nominee,Frankie Goes to Hollywood
1985,Corey Hart,NA,best-new-artist,nominee,Corey Hart
1985,The Judds,NA,best-new-artist,nominee,The Judds
1984,Culture Club,NA,best-new-artist,winner,Culture Club
1984,Big Country,NA,best-new-artist,nominee,Big Country
1984,Eurythmics,NA,best-new-artist,nominee,Eurythmics
1984,Men Without Hats,NA,best-new-artist,nominee,Men Without Hats
1984,Musical Youth,NA,best-new-artist,nominee,Musical Youth
1983,Men at Work,NA,best-new-artist,winner,Men at Work
1983,Asia,NA,best-new-artist,nominee,Asia
1983,Jennifer Holiday,NA,best-new-artist,nominee,Jennifer Holiday
1983,Human League,NA,best-new-artist,nominee,Human League
1983,Stray Cats,NA,best-new-artist,nominee,Stray Cats
1982,Sheena Easton,NA,best-new-artist,winner,Sheena Easton
1982,Adam and the Ants,NA,best-new-artist,nominee,Adam and the Ants
1982,The Go-Gos,NA,best-new-artist,nominee,The GoGos
1982,James Ingram,NA,best-new-artist,nominee,James Ingram
1982,Luther Vandross,NA,best-new-artist,nominee,Luther Vandross
1981,Christopher Cross,NA,best-new-artist,winner,Christopher Cross
1981,Irene Cara,NA,best-new-artist,nominee,Irene Cara
1981,Robbie Dupree,NA,best-new-artist,nominee,Robbie Dupree
1981,Amy Holland,NA,best-new-artist,nominee,Amy Holland
1981,Pretenders,NA,best-new-artist,nominee,Pretenders
1980,Rickie Lee Jones,NA,best-new-artist,winner,Rickie Lee Jones
1980,Blues Brothers,NA,best-new-artist,nominee,Blues Brothers
1980,Dire Straits,NA,best-new-artist,nominee,Dire Straits
1980,The Knack,NA,best-new-artist,nominee,The Knack
1980,Robin Williams,NA,best-new-artist,nominee,Robin Williams
1979,A Taste of Honey,NA,best-new-artist,winner,A Taste of Honey
1979,The Cars,NA,best-new-artist,nominee,The Cars
1979,Elvis Costello,NA,best-new-artist,nominee,Elvis Costello
1979,Chris Rea,NA,best-new-artist,nominee,Chris Rea
1979,Toto,NA,best-new-artist,nominee,Toto
1978,Debby Boone,NA,best-new-artist,winner,Debby Boone
1978,Stephen Bishop,NA,best-new-artist,nominee,Stephen Bishop
1978,Shaun Cassidy,NA,best-new-artist,nominee,Shaun Cassidy
1978,Foreigner,NA,best-new-artist,nominee,Foreigner
1978,Andy Gibb,NA,best-new-artist,nominee,Andy Gibb
1977,Starland Vocal Band,NA,best-new-artist,winner,Starland Vocal Band
1977,Boston,NA,best-new-artist,nominee,Boston
1977,Dr. Buzzard’s Original Savannah Band,NA,best-new-artist,nominee,Dr Buzzards Original Savannah Band
1977,The Brothers Johnson,NA,best-new-artist,nominee,The Brothers Johnson
1977,Wild Cherry,NA,best-new-artist,nominee,Wild Cherry
1976,Natalie Cole,NA,best-new-artist,winner,Natalie Cole
1976,Morris Albert,NA,best-new-artist,nominee,Morris Albert
1976,Amazing Rhythm Aces,NA,best-new-artist,nominee,Amazing Rhythm Aces
1976,Brecker Brothers,NA,best-new-artist,nominee,Brecker Brothers
1976,KC and the Sunshine Band,NA,best-new-artist,nominee,KC and the Sunshine Band
1975,Marvin Hamlisch,NA,best-new-artist,winner,Marvin Hamlisch
1975,Bad Company,NA,best-new-artist,nominee,Bad Company
1975,Johnny Bristol,NA,best-new-artist,nominee,Johnny Bristol
1975,David Essex,NA,best-new-artist,nominee,David Essex
1975,Graham Central Station,NA,best-new-artist,nominee,Graham Central Station
1975,Phoebe Snow,NA,best-new-artist,nominee,Phoebe Snow
1974,Bette Midler,NA,best-new-artist,winner,Bette Midler
1974,Eumir Deodato,NA,best-new-artist,nominee,Eumir Deodato
1974,Maureen McGovern,NA,best-new-artist,nominee,Maureen McGovern
1974,Marie Osmond,NA,best-new-artist,nominee,Marie Osmond
1974,Barry White,NA,best-new-artist,nominee,Barry White
1973,America,NA,best-new-artist,winner,America
1973,Harry Chapin,NA,best-new-artist,nominee,Harry Chapin
1973,Eagles,NA,best-new-artist,nominee,Eagles
1973,Loggins and Messina,NA,best-new-artist,nominee,Loggins and Messina
1973,John Prine,NA,best-new-artist,nominee,John Prine
1972,Carly Simon,NA,best-new-artist,winner,Carly Simon
1972,Chase,NA,best-new-artist,nominee,Chase
1972,"Emerson, Lake & Palmer",NA,best-new-artist,nominee,Emerson Lake  Palmer
1972,"Hamilton, Joe Frank & Reynolds",NA,best-new-artist,nominee,Hamilton Joe Frank  Reynolds
1972,Bill Withers,NA,best-new-artist,nominee,Bill Withers
1971,The Carpenters,NA,best-new-artist,winner,The Carpenters
1971,Elton John,NA,best-new-artist,nominee,Elton John
1971,Melba Moore,NA,best-new-artist,nominee,Melba Moore
1971,Anne Murray,NA,best-new-artist,nominee,Anne Murray
1971,Partridge Family,NA,best-new-artist,nominee,Partridge Family
1970,"Crosby, Stills & Nash",NA,best-new-artist,winner,Crosby Stills  Nash
1970,Chicago,NA,best-new-artist,nominee,Chicago
1970,Led Zeppelin,NA,best-new-artist,nominee,Led Zeppelin
1970,Neon Philharmonic,NA,best-new-artist,nominee,Neon Philharmonic
1970,Oliver,NA,best-new-artist,nominee,Oliver
1969,Jose Feliciano,NA,best-new-artist,winner,Jose Feliciano
1969,Cream,NA,best-new-artist,nominee,Cream
1969,Gary Puckett & the Union Gap,NA,best-new-artist,nominee,Gary Puckett  the Union Gap
1969,Jeanne C. Riley,NA,best-new-artist,nominee,Jeanne C Riley
1969,O.C. Smith,NA,best-new-artist,nominee,OC Smith
1968,Bobbie Gentry,NA,best-new-artist,winner,Bobbie Gentry
1968,Lana Cantrell,NA,best-new-artist,nominee,Lana Cantrell
1968,The 5th Dimension,NA,best-new-artist,nominee,The 5th Dimension
1968,Harpers Bizarre,NA,best-new-artist,nominee,Harpers Bizarre
1968,Jefferson Airplane,NA,best-new-artist,nominee,Jefferson Airplane
1967,No award,NA,best-new-artist,winner,No award
1966,Tom Jones,NA,best-new-artist,winner,Tom Jones
1966,The Byrds,NA,best-new-artist,nominee,The Byrds
1966,Herman’s Hermits,NA,best-new-artist,nominee,Hermans Hermits
1966,Horst Jankowski,NA,best-new-artist,nominee,Horst Jankowski
1966,Marilyn Maye,NA,best-new-artist,nominee,Marilyn Maye
1966,Sonny & Cher,NA,best-new-artist,nominee,Sonny  Cher
1966,Glenn Yarbrough,NA,best-new-artist,nominee,Glenn Yarbrough
1965,The Beatles,NA,best-new-artist,winner,The Beatles
1965,Petula Clark,NA,best-new-artist,nominee,Petula Clark
1965,Astrud Gilberto,NA,best-new-artist,nominee,Astrud Gilberto
1965,Antonio Carlos Jobim,NA,best-new-artist,nominee,Antonio Carlos Jobim
1965,Morgana King,NA,best-new-artist,nominee,Morgana King
1964,Swingle Sisters,NA,best-new-artist,winner,Swingle Sisters
1964,Vikki Carr,NA,best-new-artist,nominee,Vikki Carr
1964,John Gary,NA,best-new-artist,nominee,John Gary
1964,The J’s with Jamie,NA,best-new-artist,nominee,The Js with Jamie
1964,Trini Lopez,NA,best-new-artist,nominee,Trini Lopez
1963,Robert Goulet,NA,best-new-artist,winner,Robert Goulet
1963,The Four Seasons,NA,best-new-artist,nominee,The Four Seasons
1963,Vaughn Meader,NA,best-new-artist,nominee,Vaughn Meader
1963,New Christy Minstrels,NA,best-new-artist,nominee,New Christy Minstrels
1963,"Peter, Paul and Mary",NA,best-new-artist,nominee,Peter Paul and Mary
1963,Allan Sherman,NA,best-new-artist,nominee,Allan Sherman
1962,Peter Nero,NA,best-new-artist,winner,Peter Nero
1962,Ann-Margret,NA,best-new-artist,nominee,AnnMargret
1962,Dick Gregory,NA,best-new-artist,nominee,Dick Gregory
1962,The Letterman,NA,best-new-artist,nominee,The Letterman
1962,Timi Yuro,NA,best-new-artist,nominee,Timi Yuro
1961,Bob Newhart,NA,best-new-artist,winner,Bob Newhart
1961,The Brothers Four,NA,best-new-artist,nominee,The Brothers Four
1961,Miriam Makeba,NA,best-new-artist,nominee,Miriam Makeba
1961,Leontyne Price,NA,best-new-artist,nominee,Leontyne Price
1961,Joanie Sommers,NA,best-new-artist,nominee,Joanie Sommers
1960,Bobby Darin,NA,best-new-artist,winner,Bobby Darin
1960,Edd Byrnes,NA,best-new-artist,nominee,Edd Byrnes
1960,Mark Murphy,NA,best-new-artist,nominee,Mark Murphy
1960,Johnny Restivo,NA,best-new-artist,nominee,Johnny Restivo
1960,Mavis Rivers,NA,best-new-artist,nominee,Mavis Rivers
2023,Lizzo,About Damn Time,record-of-the-year,winner,Lizzo
2023,Abba,Don't Shut Me Down,record-of-the-year,nominee,Abba
2023,Adele,Easy On Me,record-of-the-year,nominee,Adele
2023,Beyonce,BREAK MY SOUL,record-of-the-year,nominee,Beyonce
2023,Mary J. Blige,Good Morning Gorgeous,record-of-the-year,nominee,Mary J Blige
2023,Brandi Carlile Featuring Lucius,You And Me On The Rock,record-of-the-year,nominee,Brandi Carlile Featuring Lucius
2023,Doja Cat,Woman,record-of-the-year,nominee,Doja Cat
2023,Steve Lacy,Bad Habit,record-of-the-year,nominee,Steve Lacy
2023,Harry Styles,As It Was,record-of-the-year,nominee,Harry Styles
2023,Kendrick Lamar,The Heart Part 5,record-of-the-year,nominee,Kendrick Lamar
2023,Harry Styles,Harry's House,album-of-the-year,winner,Harry Styles
2023,Abba,Voyage,album-of-the-year,nominee,Abba
2023,Adele,30,album-of-the-year,nominee,Adele
2023,Bad Bunny,Un Verano Sin Ti,album-of-the-year,nominee,Bad Bunny
2023,Beyonce,RENAISSANCE,album-of-the-year,nominee,Beyonce
2023,Mary J. Blige,Good Morning Gorgeous,album-of-the-year,nominee,Mary J Blige
2023,Brandi Carlile,In These Silent Days,album-of-the-year,nominee,Brandi Carlile
2023,Coldplay,Music Of The Spheres,album-of-the-year,nominee,Coldplay
2023,Kendrick Lamar,Mr. Morale & The Big Steppers,album-of-the-year,nominee,Kendrick Lamar
2023,Lizzo,Special,album-of-the-year,nominee,Lizzo
2023,Samara Joy,,best-new-artist,winner,Samara Joy
2023,Anitta,,best-new-artist,nominee,Anitta
2023,Omar Apollo,,best-new-artist,nominee,Omar Apollo
2023,DOMi & JD Beck,,best-new-artist,nominee,DOMi  JD Beck
2023,Muni Long,,best-new-artist,nominee,Muni Long
2023,Latto,,best-new-artist,nominee,Latto
2023,Måneskin,,best-new-artist,nominee,Måneskin
2023,Tobe Nwigwe,,best-new-artist,nominee,Tobe Nwigwe
2023,Molly Tuttle,,best-new-artist,nominee,Molly Tuttle
2023,Wet Leg,,best-new-artist,nominee,Wet Leg
